DataSessao;2024-06-05

PL 914/2024
"Institui o Programa Mobilidade Verde e Inovação (Programa Mover); estabelece a política de conteúdo local; altera o Decreto-Lei nº 1.804, de 3 de setembro de 1980; e revoga dispositivos da Lei nº 13.755, de 10 de dezembro de 2018."
Votação nominal do Projeto de Lei nº 914, de 2024, nos termos do parecer, ressalvados os destaques.

Secreta;Não

Votos
Votos Sim;67
Votos Não;0
Abstenção;0
Não Compareceu;10
Votos do Presidente;1
PNRV;0
Total;78

Resultado;Aprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Jader Barbalho;MDB;PA;NCom
Renan Calheiros;MDB;AL;Sim
Confúcio Moura;MDB;RO;Sim
Marcelo Castro;MDB;PI;Sim
Eduardo Braga;MDB;AM;Sim
Veneziano Vital do Rêgo;MDB;PB;Sim
Fernando Dueire;MDB;PE;Sim
Alessandro Vieira;MDB;SE;Sim
Giordano;MDB;SP;NCom
Ivete da Silveira;MDB;SC;Sim
Fernando Farias;MDB;AL;Sim
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Sim
Leila Barros;PDT;DF;Sim
Ana Paula Lobato;PDT;MA;Sim
Magno Malta;PL;ES;NCom
Wellington Fagundes;PL;MT;Sim
Eduardo Gomes;PL;TO;Sim
Rogerio Marinho;PL;RN;Sim
Izalci Lucas;PL;DF;Sim
Wilder Morais;PL;GO;Sim
Romário;PL;RJ;Sim
Marcos Rogério;PL;RO;Sim
Flávio Bolsonaro;PL;RJ;Sim
Carlos Portinho;PL;RJ;Sim
Astronauta Marcos Pontes;PL;SP;Sim
Jaime Bagattoli;PL;RO;Sim
Jorge Seif;PL;SC;Sim
Zequinha Marinho;PODEMOS;PA;Sim
Rodrigo Cunha;PODEMOS;AL;Sim
Oriovisto Guimarães;PODEMOS;PR;NCom
Marcos do Val;PODEMOS;ES;NCom
Styvenson Valentim;PODEMOS;RN;Sim
Soraya Thronicke;PODEMOS;MS;Sim
Carlos Viana;PODEMOS;MG;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;Sim
Laércio Oliveira;PP;SE;Sim
Tereza Cristina;PP;MS;Sim
Dr. Hiran;PP;RR;Sim
Ireneu Orth;PP;RS;Sim
Flávio Arns;PSB;PR;NCom
Chico Rodrigues;PSB;RR;Sim
Jorge Kajuru;PSB;GO;Sim
Cid Gomes;PSB;CE;MIS
Sérgio Petecão;PSD;AC;Sim
Mara Gabrilli;PSD;SP;MIS
Irajá;PSD;TO;Sim
Otto Alencar;PSD;BA;Sim
Omar Aziz;PSD;AM;Sim
Eliziane Gama;PSD;MA;Sim
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Sim
Vanderlan Cardoso;PSD;GO;Sim
Lucas Barreto;PSD;AP;Sim
Angelo Coronel;PSD;BA;Sim
Nelsinho Trad;PSD;MS;MIS
Daniella Ribeiro;PSD;PB;NCom
Margareth Buzetti;PSD;MT;Sim
Jussara Lima;PSD;PI;Sim
Plínio Valério;PSDB;AM;NCom
Jaques Wagner;PT;BA;Sim
Paulo Paim;PT;RS;NCom
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;Sim
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Teresa Leitão;PT;PE;Sim
Janaína Farias;PT;CE;Sim
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Sim
Randolfe Rodrigues;S/Partido;AP;Sim
Marcio Bittar;UNIÃO;AC;Sim
Davi Alcolumbre;UNIÃO;AP;Sim
Jayme Campos;UNIÃO;MT;Sim
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;Sim
Alan Rick;UNIÃO;AC;NCom
Sergio Moro;UNIÃO;PR;Sim
