DataSessao;2024-10-08

MSF 42/2024
Submete à apreciação do Senado Federal, nos termos do art. 52, inciso III, alínea “d”, da Constituição, combinado com art. 4º, caput, da Lei Complementar nº 179, de 24 de fevereiro de 2021, o nome do Senhor GABRIEL MURICCA GALÍPOLO, para exercer o cargo de Presidente do Banco Central do Brasil, na vaga decorrente do término do mandato de Roberto de Oliveira Campos Neto em 31 de dezembro de 2024.
Votação nominal da Mensagem nº 42, de 2024 - Gabriel Muricca Galípolo (Banco Central do Brasil).

Secreta;Sim

Votos
Votos Sim;0
Votos Não;0
Abstenção;0
Não Compareceu;10
Votos do Presidente;0
PNRV;0
Total;10

Resultado;Aprovada
Orientação do Governo;SEM ORIENTAÇÃO

Parlamentar;Partido;UF;Voto
Jader Barbalho;MDB;PA;NCom
Renan Calheiros;MDB;AL;Votou
Confúcio Moura;MDB;RO;Votou
Marcelo Castro;MDB;PI;Votou
Eduardo Braga;MDB;AM;Votou
Veneziano Vital do Rêgo;MDB;PB;Votou
Fernando Dueire;MDB;PE;Votou
Alessandro Vieira;MDB;SE;Votou
Giordano;MDB;SP;NCom
Fernando Farias;MDB;AL;Votou
Eduardo Girão;NOVO;CE;Votou
Weverton;PDT;MA;Votou
Leila Barros;PDT;DF;Votou
Ana Paula Lobato;PDT;MA;Votou
Magno Malta;PL;ES;NCom
Eduardo Gomes;PL;TO;Votou
Izalci Lucas;PL;DF;Votou
Wilder Morais;PL;GO;Votou
Romário;PL;RJ;Votou
Marcos Rogério;PL;RO;Votou
Flávio Bolsonaro;PL;RJ;Votou
Carlos Portinho;PL;RJ;Votou
Astronauta Marcos Pontes;PL;SP;Votou
Beto Martins;PL;SC;Votou
Jaime Bagattoli;PL;RO;Votou
Jorge Seif;PL;SC;Votou
Rosana Martinelli;PL;MT;Votou
Flavio Azevedo;PL;RN;Votou
Zequinha Marinho;PODEMOS;PA;Votou
Rodrigo Cunha;PODEMOS;AL;Votou
Oriovisto Guimarães;PODEMOS;PR;Votou
Marcos do Val;PODEMOS;ES;Votou
Styvenson Valentim;PODEMOS;RN;Votou
Soraya Thronicke;PODEMOS;MS;Votou
Esperidião Amin;PP;SC;Votou
Ciro Nogueira;PP;PI;Votou
Luis Carlos Heinze;PP;RS;Votou
Laércio Oliveira;PP;SE;Votou
Tereza Cristina;PP;MS;Votou
Dr. Hiran;PP;RR;Votou
Castellar Neto;PP;MG;Votou
Flávio Arns;PSB;PR;Votou
Chico Rodrigues;PSB;RR;Votou
Jorge Kajuru;PSB;GO;Votou
Cid Gomes;PSB;CE;NCom
Sérgio Petecão;PSD;AC;Votou
Bene Camacho;PSD;MA;Votou
Mara Gabrilli;PSD;SP;NCom
Irajá;PSD;TO;NCom
Otto Alencar;PSD;BA;Votou
Omar Aziz;PSD;AM;Votou
Rodrigo Pacheco;PSD;MG;Votou
Zenaide Maia;PSD;RN;Votou
Vanderlan Cardoso;PSD;GO;Votou
Lucas Barreto;PSD;AP;Votou
Angelo Coronel;PSD;BA;Votou
Nelsinho Trad;PSD;MS;Votou
Daniella Ribeiro;PSD;PB;NCom
Margareth Buzetti;PSD;MT;Votou
Jussara Lima;PSD;PI;NCom
Plínio Valério;PSDB;AM;Votou
Jaques Wagner;PT;BA;Votou
Paulo Paim;PT;RS;Votou
Beto Faro;PT;PA;Votou
Humberto Costa;PT;PE;Votou
Randolfe Rodrigues;PT;AP;Votou
Rogério Carvalho;PT;SE;Votou
Fabiano Contarato;PT;ES;Votou
Teresa Leitão;PT;PE;Votou
Augusta Brito;PT;CE;NCom
Mecias de Jesus;REPUBLICANOS;RR;Votou
Damares Alves;REPUBLICANOS;DF;Votou
Cleitinho;REPUBLICANOS;MG;Votou
Hamilton Mourão;REPUBLICANOS;RS;Votou
Marcio Bittar;UNIÃO;AC;NCom
Davi Alcolumbre;UNIÃO;AP;Votou
Jayme Campos;UNIÃO;MT;Votou
Professora Dorinha Seabra;UNIÃO;TO;Votou
Alan Rick;UNIÃO;AC;Votou
Sergio Moro;UNIÃO;PR;Votou
André Amaral;UNIÃO;PB;Votou
