DataSessao;2024-11-18

PLP 175/2024
"Dispõe sobre a proposição e a execução de emendas parlamentares na lei orçamentária anual; e dá outras providências."
Votação nominal dos dispositivos do art. 12 do Substitutivo do Relator ao PLP nº 175/2024, destacados.

Secreta;Não

Votos
Votos Sim;14
Votos Não;47
Abstenção;1
Não Compareceu;3
Votos do Presidente;1
PNRV;12
Total;78

Resultado;Reprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Renan Calheiros;MDB;AL;AP
Jader Barbalho;MDB;PA;NCom
Confúcio Moura;MDB;RO;P-NRV
Eduardo Braga;MDB;AM;P-NRV
Veneziano Vital do Rêgo;MDB;PB;P-NRV
Giordano;MDB;SP;Sim
Alessandro Vieira;MDB;SE;Não
Fernando Dueire;MDB;PE;AP
Marcelo Castro;MDB;PI;Abstenção
Fernando Farias;MDB;AL;P-NRV
Eduardo Girão;NOVO;CE;Não
Weverton;PDT;MA;Não
Leila Barros;PDT;DF;Sim
Ana Paula Lobato;PDT;MA;Sim
Flávio Bolsonaro;PL;RJ;Não
Magno Malta;PL;ES;Não
Rogerio Marinho;PL;RN;Não
Izalci Lucas;PL;DF;Não
Eduardo Gomes;PL;TO;Não
Wilder Morais;PL;GO;Não
Wellington Fagundes;PL;MT;Não
Astronauta Marcos Pontes;PL;SP;Não
Beto Martins;PL;SC;Não
Carlos Portinho;PL;RJ;Não
Romário;PL;RJ;Não
Marcos Rogério;PL;RO;Não
Jorge Seif;PL;SC;Não
Jaime Bagattoli;PL;RO;P-NRV
Rodrigo Cunha;PODEMOS;AL;P-NRV
Zequinha Marinho;PODEMOS;PA;P-NRV
Soraya Thronicke;PODEMOS;MS;Não
Styvenson Valentim;PODEMOS;RN;Não
Oriovisto Guimarães;PODEMOS;PR;NCom
Carlos Viana;PODEMOS;MG;Não
Marcos do Val;PODEMOS;ES;Não
Esperidião Amin;PP;SC;Não
Ciro Nogueira;PP;PI;Não
Luis Carlos Heinze;PP;RS;Não
Tereza Cristina;PP;MS;Não
Dr. Hiran;PP;RR;Não
Laércio Oliveira;PP;SE;Não
Flávio Arns;PSB;PR;Não
Chico Rodrigues;PSB;RR;Não
Cid Gomes;PSB;CE;NCom
Jorge Kajuru;PSB;GO;Sim
Sérgio Petecão;PSD;AC;P-NRV
Omar Aziz;PSD;AM;P-NRV
Mara Gabrilli;PSD;SP;Não
Irajá;PSD;TO;Não
Nelsinho Trad;PSD;MS;Não
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Não
Lucas Barreto;PSD;AP;Não
Otto Alencar;PSD;BA;Sim
Angelo Coronel;PSD;BA;Sim
Vanderlan Cardoso;PSD;GO;Não
Daniella Ribeiro;PSD;PB;Não
Margareth Buzetti;PSD;MT;P-NRV
Jussara Lima;PSD;PI;Sim
Plínio Valério;PSDB;AM;Não
Paulo Paim;PT;RS;P-NRV
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;Sim
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Jaques Wagner;PT;BA;Sim
Randolfe Rodrigues;PT;AP;Sim
Teresa Leitão;PT;PE;P-NRV
Augusta Brito;PT;CE;Sim
Mecias de Jesus;REPUBLICANOS;RR;Não
Damares Alves;REPUBLICANOS;DF;Não
Cleitinho;REPUBLICANOS;MG;Não
Hamilton Mourão;REPUBLICANOS;RS;Não
Marcio Bittar;UNIÃO;AC;Não
Efraim Filho;UNIÃO;PB;Não
Alan Rick;UNIÃO;AC;Não
Professora Dorinha Seabra;UNIÃO;TO;Não
Jayme Campos;UNIÃO;MT;Não
Davi Alcolumbre;UNIÃO;AP;Não
Sergio Moro;UNIÃO;PR;Não
