DataSessao;2024-11-18

PLP 175/2024
"Dispõe sobre a proposição e a execução de emendas parlamentares na lei orçamentária anual; e dá outras providências."
Votação nominal da Subemenda ao Substitutivo do Relator ao PLP nº 175/2024, destacada.

Secreta;Não

Votos
Votos Sim;64
Votos Não;0
Abstenção;0
Não Compareceu;3
Votos do Presidente;1
PNRV;7
Total;75

Resultado;Aprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Renan Calheiros;MDB;AL;AP
Jader Barbalho;MDB;PA;NCom
Confúcio Moura;MDB;RO;Sim
Eduardo Braga;MDB;AM;Sim
Veneziano Vital do Rêgo;MDB;PB;Sim
Fernando Dueire;MDB;PE;AP
Marcelo Castro;MDB;PI;Sim
Fernando Farias;MDB;AL;Sim
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Sim
Leila Barros;PDT;DF;P-NRV
Ana Paula Lobato;PDT;MA;Sim
Flávio Bolsonaro;PL;RJ;Sim
Magno Malta;PL;ES;P-NRV
Rogerio Marinho;PL;RN;Sim
Izalci Lucas;PL;DF;P-NRV
Eduardo Gomes;PL;TO;Sim
Wilder Morais;PL;GO;Sim
Wellington Fagundes;PL;MT;Sim
Astronauta Marcos Pontes;PL;SP;Sim
Beto Martins;PL;SC;Sim
Carlos Portinho;PL;RJ;Sim
Romário;PL;RJ;Sim
Marcos Rogério;PL;RO;Sim
Jorge Seif;PL;SC;Sim
Jaime Bagattoli;PL;RO;Sim
Rodrigo Cunha;PODEMOS;AL;Sim
Zequinha Marinho;PODEMOS;PA;Sim
Soraya Thronicke;PODEMOS;MS;Sim
Styvenson Valentim;PODEMOS;RN;Sim
Oriovisto Guimarães;PODEMOS;PR;NCom
Carlos Viana;PODEMOS;MG;Sim
Marcos do Val;PODEMOS;ES;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;Sim
Luis Carlos Heinze;PP;RS;Sim
Tereza Cristina;PP;MS;Sim
Dr. Hiran;PP;RR;Sim
Laércio Oliveira;PP;SE;Sim
Flávio Arns;PSB;PR;P-NRV
Chico Rodrigues;PSB;RR;Sim
Cid Gomes;PSB;CE;NCom
Jorge Kajuru;PSB;GO;Sim
Sérgio Petecão;PSD;AC;Sim
Omar Aziz;PSD;AM;Sim
Mara Gabrilli;PSD;SP;Sim
Irajá;PSD;TO;MIS
Nelsinho Trad;PSD;MS;Sim
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Sim
Lucas Barreto;PSD;AP;Sim
Otto Alencar;PSD;BA;Sim
Angelo Coronel;PSD;BA;Sim
Vanderlan Cardoso;PSD;GO;Sim
Daniella Ribeiro;PSD;PB;Sim
Margareth Buzetti;PSD;MT;P-NRV
Jussara Lima;PSD;PI;Sim
Plínio Valério;PSDB;AM;Sim
Paulo Paim;PT;RS;P-NRV
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;Sim
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Jaques Wagner;PT;BA;Sim
Randolfe Rodrigues;PT;AP;Sim
Teresa Leitão;PT;PE;Sim
Augusta Brito;PT;CE;P-NRV
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Sim
Marcio Bittar;UNIÃO;AC;Sim
Efraim Filho;UNIÃO;PB;Sim
Alan Rick;UNIÃO;AC;Sim
Professora Dorinha Seabra;UNIÃO;TO;Sim
Jayme Campos;UNIÃO;MT;Sim
Davi Alcolumbre;UNIÃO;AP;Sim
Sergio Moro;UNIÃO;PR;Sim
