DataSessao;2024-05-15

PLP 85/2024
"Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017."
Votação nominal do Projeto de Lei Complementar nº 85, de 2024, nos termos do parecer, ressalvado o destaque.

Secreta;Não

Votos
Votos Sim;61
Votos Não;0
Abstenção;17
Votos do Presindente;1
PNRV;2
Total;81

Resultado;Aprovada
Orientação do Governo;SIM

NomeParlamentar;SiglaPartido;SiglaUF;Voto
Jader Barbalho;MDB;PA;Sim
Renan Calheiros;MDB;AL;Sim
Confúcio Moura;MDB;RO;Sim
Marcelo Castro;MDB;PI;Sim
Eduardo Braga;MDB;AM;NCom
Veneziano Vital do Rêgo;MDB;PB;Sim
Fernando Dueire;MDB;PE;Sim
Alessandro Vieira;MDB;SE;MIS
Giordano;MDB;SP;Sim
Ivete da Silveira;MDB;SC;NCom
Fernando Farias;MDB;AL;Sim
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Sim
Leila Barros;PDT;DF;Sim
Ana Paula Lobato;PDT;MA;NCom
Magno Malta;PL;ES;NCom
Wellington Fagundes;PL;MT;Sim
Eduardo Gomes;PL;TO;Sim
Rogerio Marinho;PL;RN;Sim
Izalci Lucas;PL;DF;Sim
Wilder Morais;PL;GO;Sim
Romário;PL;RJ;Sim
Marcos Rogério;PL;RO;Sim
Flávio Bolsonaro;PL;RJ;Sim
Carlos Portinho;PL;RJ;Sim
Astronauta Marcos Pontes;PL;SP;Sim
Jaime Bagattoli;PL;RO;Sim
Jorge Seif;PL;SC;MIS
Zequinha Marinho;PODEMOS;PA;MIS
Rodrigo Cunha;PODEMOS;AL;Sim
Oriovisto Guimarães;PODEMOS;PR;Sim
Marcos do Val;PODEMOS;ES;Sim
Styvenson Valentim;PODEMOS;RN;Sim
Soraya Thronicke;PODEMOS;MS;NCom
Carlos Viana;PODEMOS;MG;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;NCom
Laércio Oliveira;PP;SE;MIS
Tereza Cristina;PP;MS;MIS
Dr. Hiran;PP;RR;Sim
Ireneu Orth;PP;RS;Sim
Flávio Arns;PSB;PR;P-NRV
Chico Rodrigues;PSB;RR;Sim
Jorge Kajuru;PSB;GO;Sim
Cid Gomes;PSB;CE;Sim
Sérgio Petecão;PSD;AC;Sim
Mara Gabrilli;PSD;SP;NCom
Irajá;PSD;TO;NCom
Otto Alencar;PSD;BA;Sim
Omar Aziz;PSD;AM;Sim
Eliziane Gama;PSD;MA;NCom
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Sim
Vanderlan Cardoso;PSD;GO;Sim
Lucas Barreto;PSD;AP;Sim
Angelo Coronel;PSD;BA;Sim
Nelsinho Trad;PSD;MS;Sim
Daniella Ribeiro;PSD;PB;MIS
Margareth Buzetti;PSD;MT;Sim
Jussara Lima;PSD;PI;Sim
Plínio Valério;PSDB;AM;Sim
Jaques Wagner;PT;BA;Sim
Paulo Paim;PT;RS;Sim
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;Sim
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Teresa Leitão;PT;PE;Sim
Janaína Farias;PT;CE;Sim
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Sim
Randolfe Rodrigues;S/Partido;AP;Sim
Marcio Bittar;UNIÃO;AC;NCom
Davi Alcolumbre;UNIÃO;AP;Sim
Jayme Campos;UNIÃO;MT;NCom
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;P-NRV
Alan Rick;UNIÃO;AC;Sim
Sergio Moro;UNIÃO;PR;Sim
