DataSessao;2024-05-15

PLP 85/2024
"Autoriza a União a postergar o pagamento da dívida de entes federativos afetados por calamidade pública reconhecida pelo Congresso Nacional, mediante proposta do Poder Executivo federal, e a reduzir a taxa de juros dos contratos de dívida dos referidos entes com a União; e altera a Lei Complementar nº 101, de 4 de maio de 2000 (Lei de Responsabilidade Fiscal), e a Lei Complementar nº 159, de 19 de maio de 2017."
Votação nominal da Emenda nº 1 ao Projeto de Lei Complementar nº 85, de 2024, destacada.

Secreta;Não

Votos
Votos Sim;30
Votos Não;33
Abstenção;17
Votos do Presindente;1
PNRV;0
Total;81

Resultado;Reprovada
Orientação do Governo;SIM

NomeParlamentar;SiglaPartido;SiglaUF;Voto
Jader Barbalho;MDB;PA;Não
Renan Calheiros;MDB;AL;Não
Confúcio Moura;MDB;RO;Não
Marcelo Castro;MDB;PI;Não
Eduardo Braga;MDB;AM;NCom
Veneziano Vital do Rêgo;MDB;PB;Não
Fernando Dueire;MDB;PE;Não
Alessandro Vieira;MDB;SE;MIS
Giordano;MDB;SP;Não
Ivete da Silveira;MDB;SC;NCom
Fernando Farias;MDB;AL;Não
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Não
Leila Barros;PDT;DF;Não
Ana Paula Lobato;PDT;MA;NCom
Magno Malta;PL;ES;NCom
Wellington Fagundes;PL;MT;Sim
Eduardo Gomes;PL;TO;Sim
Rogerio Marinho;PL;RN;Sim
Izalci Lucas;PL;DF;Sim
Wilder Morais;PL;GO;Sim
Romário;PL;RJ;Sim
Marcos Rogério;PL;RO;Sim
Flávio Bolsonaro;PL;RJ;Sim
Carlos Portinho;PL;RJ;Sim
Astronauta Marcos Pontes;PL;SP;Sim
Jaime Bagattoli;PL;RO;Sim
Jorge Seif;PL;SC;MIS
Zequinha Marinho;PODEMOS;PA;MIS
Rodrigo Cunha;PODEMOS;AL;Sim
Oriovisto Guimarães;PODEMOS;PR;Não
Marcos do Val;PODEMOS;ES;Sim
Styvenson Valentim;PODEMOS;RN;Sim
Soraya Thronicke;PODEMOS;MS;NCom
Carlos Viana;PODEMOS;MG;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;NCom
Laércio Oliveira;PP;SE;MIS
Tereza Cristina;PP;MS;MIS
Dr. Hiran;PP;RR;Sim
Ireneu Orth;PP;RS;Sim
Flávio Arns;PSB;PR;Sim
Chico Rodrigues;PSB;RR;Não
Jorge Kajuru;PSB;GO;Não
Cid Gomes;PSB;CE;Não
Sérgio Petecão;PSD;AC;Não
Mara Gabrilli;PSD;SP;NCom
Irajá;PSD;TO;NCom
Otto Alencar;PSD;BA;Não
Omar Aziz;PSD;AM;Não
Eliziane Gama;PSD;MA;NCom
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Não
Vanderlan Cardoso;PSD;GO;Não
Lucas Barreto;PSD;AP;Sim
Angelo Coronel;PSD;BA;Não
Nelsinho Trad;PSD;MS;Não
Daniella Ribeiro;PSD;PB;MIS
Margareth Buzetti;PSD;MT;Não
Jussara Lima;PSD;PI;Não
Plínio Valério;PSDB;AM;Sim
Jaques Wagner;PT;BA;Não
Paulo Paim;PT;RS;Não
Beto Faro;PT;PA;Não
Humberto Costa;PT;PE;Não
Rogério Carvalho;PT;SE;Não
Fabiano Contarato;PT;ES;Não
Teresa Leitão;PT;PE;Não
Janaína Farias;PT;CE;Não
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Sim
Randolfe Rodrigues;S/Partido;AP;Não
Marcio Bittar;UNIÃO;AC;NCom
Davi Alcolumbre;UNIÃO;AP;Não
Jayme Campos;UNIÃO;MT;NCom
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;Sim
Alan Rick;UNIÃO;AC;Sim
Sergio Moro;UNIÃO;PR;Sim
