Comissão de Constituição, Justiça e Cidadania
2024-05-08

Projeto de Lei n° 1958, de 2021
Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.
Emenda nº 20-S ao Substitutivo oferecido ao PL 1958/2021

Votos
Votos Sim;22
Votos Não;1
Abstenção;0
Total;23

Parlamentar;Partido;Voto
Renan Calheiros;MDB;S
Alessandro Vieira;MDB;S
Weverton;PDT;S
Ana Paula Lobato;PDT;S
Izalci Lucas;PL;S
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Marcos Rogério;PL;S
Rogerio Marinho;PL;S
Oriovisto Guimarães;PODEMOS;S
Esperidião Amin;PP;S
Angelo Coronel;PSD;S
Otto Alencar;PSD;S
Eliziane Gama;PSD;S
Lucas Barreto;PSD;S
Plínio Valério;PSDB;S
Humberto Costa;PT;S
Fabiano Contarato;PT;S
Jaques Wagner;PT;S
Janaína Farias;PT;S
Hamilton Mourão;REPUBLICANOS;N
Sergio Moro;UNIÃO;S
Professora Dorinha Seabra;UNIÃO;S
