Comissão de Constituição, Justiça e Cidadania
2024-05-15

Projeto de Lei n° 5153, de 2023
Altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), para estabelecer desconto no valor cobrado pela renovação das carteiras de habilitação para condutores com idade igual ou superior a 50 (cinquenta) anos.
PL 5153/2023 (nos termos do Parecer)

Votos
Votos Sim;23
Votos Não;0
Abstenção;0
Total;23

Parlamentar;Partido;Voto
Renan Calheiros;MDB;S
Veneziano Vital do Rêgo;MDB;S
Marcelo Castro;MDB;S
Weverton;PDT;S
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Marcos Rogério;PL;S
Rogerio Marinho;PL;S
Esperidião Amin;PP;S
Dr. Hiran;PP;S
Jorge Kajuru;PSB;S
Angelo Coronel;PSD;S
Lucas Barreto;PSD;S
Plínio Valério;PSDB;S
Teresa Leitão;PT;S
Fabiano Contarato;PT;S
Janaína Farias;PT;S
Jaques Wagner;PT;S
Mecias de Jesus;REPUBLICANOS;S
Sergio Moro;UNIÃO;S
Professora Dorinha Seabra;UNIÃO;S
Alan Rick;UNIÃO;S
Efraim Filho;UNIÃO;S
