Comissão de Constituição, Justiça e Cidadania
2024-05-15

Projeto de Lei n° 2978, de 2023
Altera e acrescenta dispositivos à Lei nº 14.193, de 6 de agosto de 2021, a fim de aperfeiçoar a governança das Sociedades Anônimas do Futebol, resguardar os investidores e preservar os direitos dos clubes, dos profissionais do futebol e dos atletas em formação.
PL 2978/2023 (nos termos do Parecer)

Votos
Votos Sim;19
Votos Não;0
Abstenção;0
Total;19

Parlamentar;Partido;Voto
Jader Barbalho;MDB;S
Marcos Rogério;PL;S
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Rogerio Marinho;PL;S
Esperidião Amin;PP;S
Jorge Kajuru;PSB;S
Angelo Coronel;PSD;S
Lucas Barreto;PSD;S
Plínio Valério;PSDB;S
Fabiano Contarato;PT;S
Janaína Farias;PT;S
Jaques Wagner;PT;S
Teresa Leitão;PT;S
Mecias de Jesus;REPUBLICANOS;S
Sergio Moro;UNIÃO;S
Professora Dorinha Seabra;UNIÃO;S
Alan Rick;UNIÃO;S
Efraim Filho;UNIÃO;S
