Comissão de Assuntos Econômicos
2024-05-08

Projeto de Lei n° 3141, de 2023
Cria o Programa Cartão Reconstruir e dá outras providências.
PL 3141/2023, com as emendas nºs 3 e 4-CCJ.

Votos
Votos Sim;18
Votos Não;0
Abstenção;0
Total;18

Parlamentar;Partido;Voto
Eduardo Braga;MDB;S
Fernando Dueire;MDB;S
Alessandro Vieira;MDB;S
Weverton;PDT;S
Wellington Fagundes;PL;S
Wilder Morais;PL;S
Jaime Bagattoli;PL;S
Tereza Cristina;PP;S
Esperidião Amin;PP;S
Vanderlan Cardoso;PSD;S
Angelo Coronel;PSD;S
Sérgio Petecão;PSD;S
Plínio Valério;PSDB;S
Paulo Paim;PT;S
Jaques Wagner;PT;S
Damares Alves;REPUBLICANOS;S
Professora Dorinha Seabra;UNIÃO;S
Sergio Moro;UNIÃO;S
