DataSessao;2024-05-08

PLP 233/2023
"Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009."
Votação nominal do Projeto de Lei Complementar nº 233, de 2023, nos termos do parecer, ressalvados os destaques.

Secreta;Não

Votos
Votos Sim;41
Votos Não;28
Abstenção;0
Não Compareceu;9
Votos do Presidente;1
PNRV;2
Total;81

Resultado;Aprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Jader Barbalho;MDB;PA;Sim
Renan Calheiros;MDB;AL;Sim
Confúcio Moura;MDB;RO;Sim
Marcelo Castro;MDB;PI;Sim
Eduardo Braga;MDB;AM;Sim
Veneziano Vital do Rêgo;MDB;PB;Sim
Fernando Dueire;MDB;PE;Sim
Alessandro Vieira;MDB;SE;Sim
Giordano;MDB;SP;NCom
Ivete da Silveira;MDB;SC;Sim
Fernando Farias;MDB;AL;NCom
Eduardo Girão;NOVO;CE;Não
Weverton;PDT;MA;Sim
Leila Barros;PDT;DF;Sim
Ana Paula Lobato;PDT;MA;Sim
Magno Malta;PL;ES;NCom
Wellington Fagundes;PL;MT;Não
Eduardo Gomes;PL;TO;P-NRV
Rogerio Marinho;PL;RN;Não
Izalci Lucas;PL;DF;Não
Wilder Morais;PL;GO;Não
Romário;PL;RJ;Não
Marcos Rogério;PL;RO;Não
Flávio Bolsonaro;PL;RJ;Não
Carlos Portinho;PL;RJ;Não
Astronauta Marcos Pontes;PL;SP;Não
Jaime Bagattoli;PL;RO;Não
Jorge Seif;PL;SC;Não
Zequinha Marinho;PODEMOS;PA;NCom
Rodrigo Cunha;PODEMOS;AL;NCom
Oriovisto Guimarães;PODEMOS;PR;Não
Marcos do Val;PODEMOS;ES;NCom
Styvenson Valentim;PODEMOS;RN;Não
Soraya Thronicke;PODEMOS;MS;Sim
Carlos Viana;PODEMOS;MG;Não
Esperidião Amin;PP;SC;Não
Ciro Nogueira;PP;PI;Não
Laércio Oliveira;PP;SE;Sim
Tereza Cristina;PP;MS;Não
Dr. Hiran;PP;RR;Sim
Ireneu Orth;PP;RS;Não
Flávio Arns;PSB;PR;Sim
Chico Rodrigues;PSB;RR;Sim
Jorge Kajuru;PSB;GO;Sim
Cid Gomes;PSB;CE;Sim
Sérgio Petecão;PSD;AC;Sim
Mara Gabrilli;PSD;SP;NCom
Irajá;PSD;TO;Não
Otto Alencar;PSD;BA;Sim
Omar Aziz;PSD;AM;Sim
Eliziane Gama;PSD;MA;Sim
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Sim
Vanderlan Cardoso;PSD;GO;NCom
Lucas Barreto;PSD;AP;Não
Angelo Coronel;PSD;BA;Sim
Nelsinho Trad;PSD;MS;Sim
Daniella Ribeiro;PSD;PB;NCom
Margareth Buzetti;PSD;MT;Não
Jussara Lima;PSD;PI;Sim
Plínio Valério;PSDB;AM;Não
Jaques Wagner;PT;BA;Sim
Paulo Paim;PT;RS;Sim
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;Sim
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Teresa Leitão;PT;PE;Sim
Janaína Farias;PT;CE;Sim
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Não
Cleitinho;REPUBLICANOS;MG;Não
Hamilton Mourão;REPUBLICANOS;RS;Não
Randolfe Rodrigues;S/Partido;AP;Sim
Marcio Bittar;UNIÃO;AC;P-NRV
Davi Alcolumbre;UNIÃO;AP;Sim
Jayme Campos;UNIÃO;MT;Sim
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;Sim
Alan Rick;UNIÃO;AC;Não
Sergio Moro;UNIÃO;PR;Não
