Comissão de Constituição, Justiça e Cidadania
2024-05-08

Projeto de Lei n° 1958, de 2021
Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.
Emenda nº 17-S ao Substitutivo oferecido ao PL 1958/2021

Votos
Votos Sim;12
Votos Não;13
Abstenção;0
Total;25

Parlamentar;Partido;Voto
Eduardo Braga;MDB;S
Renan Calheiros;MDB;N
Alessandro Vieira;MDB;N
Eduardo Braga;MDB;S
Renan Calheiros;MDB;N
Alessandro Vieira;MDB;N
Weverton;PDT;N
Ana Paula Lobato;PDT;N
Weverton;PDT;N
Ana Paula Lobato;PDT;N
Izalci Lucas;PL;S
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Marcos Rogério;PL;S
Rogerio Marinho;PL;S
Izalci Lucas;PL;S
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Marcos Rogério;PL;S
Rogerio Marinho;PL;S
Oriovisto Guimarães;PODEMOS;S
Oriovisto Guimarães;PODEMOS;S
Esperidião Amin;PP;N
Esperidião Amin;PP;N
Angelo Coronel;PSD;S
Otto Alencar;PSD;N
Eliziane Gama;PSD;N
Lucas Barreto;PSD;S
Angelo Coronel;PSD;S
Otto Alencar;PSD;N
Eliziane Gama;PSD;N
Lucas Barreto;PSD;S
Plínio Valério;PSDB;S
Plínio Valério;PSDB;S
Humberto Costa;PT;N
Fabiano Contarato;PT;N
Jaques Wagner;PT;N
Janaína Farias;PT;N
Humberto Costa;PT;N
Fabiano Contarato;PT;N
Jaques Wagner;PT;N
Janaína Farias;PT;N
Hamilton Mourão;REPUBLICANOS;S
Hamilton Mourão;REPUBLICANOS;S
Sergio Moro;UNIÃO;S
Professora Dorinha Seabra;UNIÃO;N
Davi Alcolumbre;UNIÃO;N
Sergio Moro;UNIÃO;S
Professora Dorinha Seabra;UNIÃO;N
