Comissão de Constituição, Justiça e Cidadania
2024-05-08

Projeto de Lei n° 1958, de 2021
Reserva aos negros 20% (vinte por cento) das vagas oferecidas nos concursos públicos para provimento de cargos efetivos e empregos públicos no âmbito da administração pública federal, das autarquias, das fundações públicas, das empresas públicas e das sociedades de economia mista controladas pela União.
Turno Suplementar do Substitutivo oferecido ao PL 1958/2021

Votos
Votos Sim;17
Votos Não;8
Abstenção;0
Total;25

Parlamentar;Partido;Voto
Eduardo Braga;MDB;S
Renan Calheiros;MDB;S
Alessandro Vieira;MDB;S
Marcelo Castro;MDB;S
Weverton;PDT;S
Ana Paula Lobato;PDT;S
Flávio Bolsonaro;PL;N
Carlos Portinho;PL;N
Marcos Rogério;PL;N
Rogerio Marinho;PL;N
Oriovisto Guimarães;PODEMOS;N
Esperidião Amin;PP;S
Angelo Coronel;PSD;S
Otto Alencar;PSD;S
Eliziane Gama;PSD;S
Lucas Barreto;PSD;S
Plínio Valério;PSDB;N
Humberto Costa;PT;S
Fabiano Contarato;PT;S
Jaques Wagner;PT;S
Janaína Farias;PT;S
Mecias de Jesus;REPUBLICANOS;S
Hamilton Mourão;REPUBLICANOS;N
Sergio Moro;UNIÃO;N
Professora Dorinha Seabra;UNIÃO;S
