DataSessao;2024-05-08

PLP 233/2023
"Dispõe sobre o Seguro Obrigatório para Proteção de Vítimas de Acidentes de Trânsito (SPVAT); altera o Decreto-Lei nº 73, de 21 de novembro de 1966, as Leis nºs 8.212, de 24 de julho de 1991, 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro), e 14.075, de 22 de outubro de 2020, e a Lei Complementar nº 200, de 30 de agosto de 2023; e revoga as Leis nºs 6.194, de 19 de dezembro de 1974, e 8.441, de 13 de julho de 1992, e dispositivos das Leis nºs 8.374, de 30 de dezembro de 1991, 11.482, de 31 de maio de 2007, e 11.945, de 4 de junho de 2009."
Votação nominal da Emenda nº 25 ao Projeto de Lei Complementar nº 233, de 2023, destacada.

Secreta;Não

Votos
Votos Sim;25
Votos Não;39
Abstenção;0
Não Compareceu;9
Votos do Presidente;1
PNRV;7
Total;81

Resultado;Reprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Jader Barbalho;MDB;PA;Não
Renan Calheiros;MDB;AL;Não
Confúcio Moura;MDB;RO;Não
Marcelo Castro;MDB;PI;Não
Eduardo Braga;MDB;AM;Não
Veneziano Vital do Rêgo;MDB;PB;Não
Fernando Dueire;MDB;PE;Não
Alessandro Vieira;MDB;SE;Não
Giordano;MDB;SP;NCom
Ivete da Silveira;MDB;SC;Não
Fernando Farias;MDB;AL;NCom
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Não
Leila Barros;PDT;DF;Não
Ana Paula Lobato;PDT;MA;Não
Magno Malta;PL;ES;NCom
Wellington Fagundes;PL;MT;P-NRV
Eduardo Gomes;PL;TO;P-NRV
Rogerio Marinho;PL;RN;Sim
Izalci Lucas;PL;DF;Sim
Wilder Morais;PL;GO;Sim
Romário;PL;RJ;Sim
Marcos Rogério;PL;RO;Sim
Flávio Bolsonaro;PL;RJ;Sim
Carlos Portinho;PL;RJ;Sim
Astronauta Marcos Pontes;PL;SP;Sim
Jaime Bagattoli;PL;RO;Sim
Jorge Seif;PL;SC;Sim
Zequinha Marinho;PODEMOS;PA;NCom
Rodrigo Cunha;PODEMOS;AL;NCom
Oriovisto Guimarães;PODEMOS;PR;Sim
Marcos do Val;PODEMOS;ES;NCom
Styvenson Valentim;PODEMOS;RN;Sim
Soraya Thronicke;PODEMOS;MS;Não
Carlos Viana;PODEMOS;MG;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;Sim
Laércio Oliveira;PP;SE;Não
Tereza Cristina;PP;MS;Sim
Dr. Hiran;PP;RR;P-NRV
Ireneu Orth;PP;RS;Sim
Flávio Arns;PSB;PR;Não
Chico Rodrigues;PSB;RR;Não
Jorge Kajuru;PSB;GO;Não
Cid Gomes;PSB;CE;Não
Sérgio Petecão;PSD;AC;Não
Mara Gabrilli;PSD;SP;NCom
Irajá;PSD;TO;P-NRV
Otto Alencar;PSD;BA;Não
Omar Aziz;PSD;AM;P-NRV
Eliziane Gama;PSD;MA;Não
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Não
Vanderlan Cardoso;PSD;GO;NCom
Lucas Barreto;PSD;AP;Sim
Angelo Coronel;PSD;BA;Não
Nelsinho Trad;PSD;MS;Não
Daniella Ribeiro;PSD;PB;NCom
Margareth Buzetti;PSD;MT;P-NRV
Jussara Lima;PSD;PI;Não
Plínio Valério;PSDB;AM;Sim
Jaques Wagner;PT;BA;Não
Paulo Paim;PT;RS;Não
Beto Faro;PT;PA;Não
Humberto Costa;PT;PE;Não
Rogério Carvalho;PT;SE;Não
Fabiano Contarato;PT;ES;Não
Teresa Leitão;PT;PE;Não
Janaína Farias;PT;CE;Não
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Não
Randolfe Rodrigues;S/Partido;AP;Não
Marcio Bittar;UNIÃO;AC;P-NRV
Davi Alcolumbre;UNIÃO;AP;Não
Jayme Campos;UNIÃO;MT;Não
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;Não
Alan Rick;UNIÃO;AC;Sim
Sergio Moro;UNIÃO;PR;Não
